id,centerlat,centerlon,width,height,population,jobs
84,42.363926,-71.10108,23.7538,5.0834618,3.5967557,0.18039453
85,42.364067,-71.10108,23.7538,4.946071,3.9269767,0.17814845
86,42.364204,-71.10108,23.7538,4.946071,5.282864,0.18695822
87,42.364346,-71.10108,23.7538,5.0834618,6.518126,0.19702101
88,42.361427,-71.100876,22.905449,4.9461226,0.0,1.3126361
89,42.361565,-71.100876,22.905449,4.9461226,0.0,1.2879238
90,42.361706,-71.100876,22.905449,5.0835147,0.0,1.2840182
91,42.361843,-71.100876,22.905449,4.9461226,0.4687609,1.2565243
92,42.361984,-71.100876,22.905449,5.0835147,2.3651114,1.3037785
93,42.36212,-71.100876,22.905449,4.9461226,3.2630515,0.56372666
94,42.36226,-71.100876,22.905449,5.0835147,5.7015686,0.15372023
95,42.3624,-71.100876,22.905449,4.9461226,5.6819344,0.15207036
96,42.362537,-71.100876,22.905449,4.9461226,6.0315347,0.16592902
97,42.36268,-71.100876,22.905449,5.0835147,4.490941,0.0917011
98,42.362816,-71.100876,22.905449,4.9461226,3.7303448,0.05972026
99,42.362953,-71.100876,22.905449,5.0835147,3.8339655,0.061379153
100,42.363094,-71.100876,22.905449,4.9461226,3.7303448,0.05972026
101,42.36323,-71.100876,22.905449,4.9461226,3.7303448,0.05972026
102,42.363373,-71.100876,22.905449,5.0835147,2.4128819,0.045169074
103,42.36351,-71.100876,22.905449,4.9461226,0.9408386,0.04955961
104,42.363647,-71.100876,22.905449,5.0835147,1.2017051,0.06474404
105,42.36379,-71.100876,22.905449,4.9461226,1.1692266,0.062994204
106,42.363926,-71.100876,22.905449,5.0835147,1.941279,0.08323339
107,42.364067,-71.100876,22.905449,4.9461226,2.2155445,0.07934765
108,42.364204,-71.100876,22.905449,4.9461226,3.571446,0.08815752
109,42.364346,-71.100876,22.905449,5.0835147,4.7319307,0.09860591
110,42.361427,-71.10066,22.905449,4.9461746,0.0,0.14367273
111,42.361565,-71.10066,22.905449,4.9461746,0.0,0.118960075
112,42.361706,-71.10066,22.905449,5.0835676,0.0,0.115767054
113,42.361843,-71.10066,22.905449,4.9461746,0.4687658,0.08756028
114,42.361984,-71.10066,22.905449,5.0835676,2.3651361,0.13552761
115,42.36212,-71.10066,22.905449,4.9461746,4.129736,0.15272239
116,42.36226,-71.10066,22.905449,5.0835676,8.536398,0.20592223
117,42.3624,-71.10066,22.905449,4.9461746,8.606939,0.19288434
118,42.362537,-71.10066,22.905449,4.9461746,8.956543,0.19929513
119,42.36268,-71.10066,22.905449,5.0835676,7.325758,0.12403783
120,42.362816,-71.10066,22.905449,4.9461746,6.655329,0.093085274
121,42.362953,-71.10066,22.905449,5.0835676,6.6687756,0.09371557
122,42.363094,-71.10066,22.905449,4.9461746,6.655329,0.093085274
123,42.36323,-71.10066,22.905449,4.9461746,6.655329,0.093085274
124,42.363373,-71.10066,22.905449,5.0835676,4.040275,0.063732676
125,42.36351,-71.10066,22.905449,4.9461746,0.94084847,0.049560133
126,42.363647,-71.10066,22.905449,5.0835676,1.2017176,0.06474472
127,42.36379,-71.10066,22.905449,4.9461746,1.1692389,0.06299487
128,42.363926,-71.10066,22.905449,5.0835676,1.9412992,0.08323426
129,42.364067,-71.10066,22.905449,4.9461746,2.2155676,0.079348475
130,42.364204,-71.10066,22.905449,4.9461746,3.5714836,0.088158436
131,42.364346,-71.10066,22.905449,5.0835676,4.73198,0.09860694
132,42.361427,-71.10046,23.7538,4.9462276,0.0,0.14899553
133,42.361565,-71.10046,23.7538,4.9462276,0.0,0.12313318
134,42.361706,-71.10046,23.7538,5.083623,0.0,0.12005603
135,42.361843,-71.10046,23.7538,4.9462276,0.46877086,0.088511415
136,42.361984,-71.10046,23.7538,5.083623,2.4527605,0.14054869
137,42.36212,-71.10046,23.7538,4.9462276,2.3864698,0.13675007
138,42.36226,-71.10046,23.7538,5.083623,2.4527605,0.14054869
139,42.3624,-71.10046,23.7538,4.9462276,2.5209343,0.12642477
140,42.362537,-71.10046,23.7538,4.9462276,2.8884711,0.13367607
141,42.36268,-71.10046,23.7538,5.083623,1.1729351,0.054507546
142,42.362816,-71.10046,23.7538,4.9462276,0.50200117,0.023531305
143,42.362953,-71.10046,23.7538,5.083623,0.5159457,0.024184953
144,42.363094,-71.10046,23.7538,4.9462276,0.50200117,0.023531305
145,42.36323,-71.10046,23.7538,4.9462276,0.50200117,0.65281713
146,42.363373,-71.10046,23.7538,5.083623,0.5159457,1.1254351
147,42.36351,-71.10046,23.7538,4.9462276,0.95878714,0.40437433
148,42.363647,-71.10046,23.7538,5.083623,1.2462392,0.067143396
149,42.36379,-71.10046,23.7538,4.9462276,1.2125571,0.06532871
150,42.363926,-71.10046,23.7538,5.083623,1.9858289,0.085633144
151,42.364067,-71.10046,23.7538,4.9462276,2.2963223,0.08222595
152,42.364204,-71.10046,23.7538,4.9462276,3.6522527,0.091036
153,42.364346,-71.10046,23.7538,5.083623,4.9072914,0.102260165
154,42.361427,-71.10025,22.905449,4.94628,0.0,0.24409708
155,42.361565,-71.10025,22.905449,4.94628,0.0,0.21938391
156,42.361706,-71.10025,22.905449,5.0836763,0.0,0.21377458
157,42.361843,-71.10025,22.905449,4.94628,1.0099466,0.1590306
158,42.361984,-71.10025,22.905449,5.0836763,4.9579196,0.2551951
159,42.36212,-71.10025,22.905449,4.94628,4.9579196,0.31572932
160,42.36226,-71.10025,22.905449,5.0836763,4.9579196,0.35541725
161,42.3624,-71.10025,22.905449,4.94628,5.092386,0.3453294
162,42.362537,-71.10025,22.905449,4.94628,5.441997,0.35174036
163,42.36268,-71.10025,22.905449,5.0836763,1.8747243,0.18710668
164,42.362816,-71.10025,22.905449,4.94628,0.48407766,0.12291329
165,42.362953,-71.10025,22.905449,5.0836763,0.49752423,0.071576566
166,42.363094,-71.10025,22.905449,4.94628,0.48407766,0.02269114
167,42.36323,-71.10025,22.905449,4.94628,0.48407766,0.24840076
168,42.363373,-71.10025,22.905449,5.0836763,0.49752423,0.41478652
169,42.36351,-71.10025,22.905449,4.94628,0.9408685,0.17652285
170,42.363647,-71.10025,22.905449,5.0836763,1.2017432,0.0647461
171,42.36379,-71.10025,22.905449,4.94628,1.1692638,0.06299621
172,42.363926,-71.10025,22.905449,5.0836763,1.3841314,0.0693058
173,42.364067,-71.10025,22.905449,4.94628,1.0998497,0.051456045
174,42.364204,-71.10025,22.905449,4.94628,2.4557943,0.060266193
175,42.364346,-71.10025,22.905449,5.0836763,3.5748,0.069677025
176,42.361427,-71.10004,22.905449,4.946331,0.0,0.056691144
177,42.361565,-71.10004,22.905449,4.946331,0.0,0.03197771
178,42.361706,-71.10004,22.905449,5.083729,0.0,0.026368324
179,42.361843,-71.10004,22.905449,4.946331,0.0,0.025655668
180,42.361984,-71.10004,22.905449,5.083729,0.0,0.026368324
181,42.36212,-71.10004,22.905449,4.946331,0.0,0.073984414
182,42.36226,-71.10004,22.905449,5.083729,0.0,0.10764846
183,42.3624,-71.10004,22.905449,4.946331,0.13446741,0.09536375
184,42.362537,-71.10004,22.905449,4.946331,0.5649554,0.104500815
185,42.36268,-71.10004,22.905449,5.083729,0.8334624,0.11592542
186,42.362816,-71.10004,22.905449,4.946331,0.82001567,0.11309835
187,42.362953,-71.10004,22.905449,5.083729,0.8334624,0.073780164
188,42.363094,-71.10004,22.905449,4.946331,0.82001567,0.03401496
189,42.36323,-71.10004,22.905449,4.946331,0.82001567,0.25972688
190,42.363373,-71.10004,22.905449,5.083729,0.7277057,0.42254952
