shapeid,x,y,transit
256,-71.07087638,42.38121638,yes
257,-71.08633369,42.38129066,yes
258,-71.13461953,42.38151484,yes
259,-71.10033308,42.38146886,yes
260,-71.11968986,42.38162249,yes
261,-71.11981126,42.381624,yes
262,-71.08483813,42.38154051,yes
263,-71.09852179,42.38159388,yes
264,-71.08406334,42.38164315,yes
265,-71.11227296,42.37503238,yes
266,-71.10243096,42.37503422,yes
267,-71.0949712,42.37501016,yes
268,-71.11855309,42.37516849,yes
269,-71.14544573,42.37531402,yes
270,-71.06363282,42.37506388,yes
271,-71.09502731,42.37519042,yes
272,-71.14399167,42.37536254,yes
273,-71.14385925,42.37536692,yes
274,-71.11284812,42.37527767,yes
275,-71.11920021,42.37529961,yes
276,-71.09999581,42.37526976,yes
277,-71.0999767,42.37531692,yes
278,-71.14602308,42.37549361,yes
279,-71.14581915,42.37552192,yes
280,-71.15657136,42.37559212,yes
281,-71.15757916,42.37592033,yes
282,-71.10336702,42.3758104,yes
283,-71.10393733,42.37628266,yes
284,-71.09954849,42.37635913,yes
285,-71.12202586,42.37643976,yes
286,-71.1462468,42.3765213,yes
287,-71.09952529,42.37641531,yes
288,-71.16040427,42.37663768,yes
289,-71.11412051,42.37651471,yes
290,-71.16096954,42.37675039,yes
291,-71.06566555,42.37643414,yes
292,-71.06595685,42.37665024,yes
293,-71.14664349,42.3769482,yes
294,-71.09807086,42.37683095,yes
295,-71.1128619,42.37690092,yes
296,-71.09555527,42.37686397,yes
297,-71.08843252,42.37690369,yes
298,-71.11224604,42.37702967,yes
299,-71.08825051,42.37707817,yes
300,-71.10502665,42.37718427,yes
301,-71.10510462,42.37724157,yes
302,-71.09658798,42.37745027,yes
303,-71.10956162,42.3775978,yes
304,-71.0898708,42.37754377,yes
305,-71.10932392,42.37764691,yes
306,-71.12006319,42.37776515,yes
307,-71.09020906,42.37769813,yes
308,-71.12019586,42.37780787,yes
309,-71.12049433,42.37781595,yes
310,-71.09595136,42.37779853,yes
311,-71.09588887,42.37794048,yes
312,-71.10622735,42.37815862,yes
313,-71.14703962,42.37831988,yes
314,-71.12369099,42.37829925,yes
315,-71.10651807,42.37825607,yes
316,-71.06772754,42.37812229,yes
317,-71.09169862,42.3782283,yes
