id,lat,lon
48982044,42.364056,-71.058105
48982044,42.363205,-71.056946
48982044,42.363255,-71.05717
48982044,42.363407,-71.05739
48982044,42.364086,-71.05804
48982044,42.36304,-71.05725
48982044,42.36375,-71.05803
48982044,42.363365,-71.0579
48982044,42.36297,-71.05734
48982044,42.36248,-71.05539
48982044,42.362682,-71.054955
48982044,42.3624,-71.05525
48982044,42.361702,-71.054504
48982044,42.361725,-71.05491
48982044,42.361565,-71.05518
48982044,42.361702,-71.054504
48982044,42.36186,-71.0549
48982044,42.361946,-71.054955
48982044,42.36206,-71.05492
48982044,42.362103,-71.054695
48982044,42.36242,-71.05421
48982044,42.362057,-71.0546
48982044,42.361465,-71.05462
48982044,42.361385,-71.05415
48982044,42.36124,-71.05385
48982044,42.36099,-71.05364
48982044,42.360825,-71.05372
48982044,42.36116,-71.05339
48982044,42.361702,-71.054504
99809128,42.361588,-71.05957
99809128,42.361706,-71.05934
99809128,42.36203,-71.05935
8643961,42.36417,-71.05466
8643961,42.36396,-71.05431
236582602,42.359665,-71.05039
236582602,42.359676,-71.05033
236582602,42.359676,-71.05033
236582602,42.35963,-71.050316
236582602,42.359684,-71.05027
236582602,42.359676,-71.05033
236582602,42.35976,-71.04982
236582602,42.35972,-71.04979
236582602,42.359882,-71.048584
236582602,42.359886,-71.048615
8651492,42.366573,-71.053566
8651492,42.365852,-71.05438
408284394,42.36642,-71.05344
408284394,42.366596,-71.05323
8651796,42.363377,-71.0572
8651796,42.365307,-71.05741
240382942,42.365982,-71.0539
240382942,42.3659,-71.05399
240382942,42.36576,-71.053764
240382942,42.36584,-71.05367
8645255,42.36331,-71.053825
8645255,42.363632,-71.053635
8645300,42.363632,-71.053635
8645300,42.363888,-71.05317
8647941,42.360386,-71.05671
8647941,42.361282,-71.05708
236582603,42.35925,-71.05062
236582603,42.35921,-71.0507
290046708,42.35932,-71.05186
290046708,42.35947,-71.0519
236582613,42.35974,-71.05137
236582613,42.359753,-71.051285
236582613,42.35969,-71.05127
236582613,42.359676,-71.051346
8651222,42.36553,-71.05457
8651222,42.365765,-71.05426
426488104,42.358543,-71.052986
426488104,42.35868,-71.05212
426488104,42.358753,-71.051636
426488104,42.358765,-71.05156
8649019,42.365543,-71.05166
8649019,42.365417,-71.05111
426481851,42.36666,-71.05851
426481851,42.364754,-71.05838
63104564,42.358543,-71.05784
63104564,42.358818,-71.05783
8651975,42.360825,-71.05372
8651975,42.36062,-71.05564
8651975,42.36072,-71.05589
8647467,42.366375,-71.05503
8647467,42.366497,-71.05495
8646066,42.363697,-71.05537
8646066,42.363403,-71.05489
8639690,42.366314,-71.05654
8639690,42.365936,-71.05567
8637798,42.36242,-71.05421
8637798,42.363068,-71.05332
411570033,42.35962,-71.05931
411570033,42.359524,-71.05939
138798811,42.359245,-71.059364
138798811,42.359383,-71.05957
8650859,42.364056,-71.05343
8650859,42.36408,-71.05342
94483073,42.360245,-71.055954
94483073,42.36031,-71.055885
94483073,42.360504,-71.053764
94483073,42.359894,-71.055885
94483073,42.360077,-71.053696
94483073,42.36012,-71.0537
94483073,42.36022,-71.05302
409161400,42.361954,-71.05444
409161400,42.361862,-71.05453
409161400,42.36184,-71.05448
409161400,42.36193,-71.0544
409161400,42.358875,-71.05081
409161400,42.358974,-71.05068
409161400,42.359177,-71.05089
217801050,42.36264,-71.055664
217801050,42.36364,-71.054665
217801050,42.36432,-71.05392
217801050,42.36503,-71.05322
217801050,42.365437,-71.053
8648393,42.364635,-71.059425
8648393,42.36476,-71.05957
8645307,42.362816,-71.054306
8645307,42.362675,-71.05405
109301990,42.363754,-71.05106
109301990,42.364857,-71.05106
109301990,42.365845,-71.05116
109301990,42.3664,-71.05141
109301990,42.36666,-71.05168
59033561,42.359337,-71.05957
59033561,42.3592,-71.05932
59033561,42.35875,-71.05767
59033561,42.358723,-71.05742
59033561,42.35952,-71.05235
59033561,42.35955,-71.05236
59033561,42.35877,-71.05719
59033561,42.358757,-71.05753
59033561,42.35922,-71.059204
59033561,42.359535,-71.05955
