x,y
907.05963,30.077087
908.96924,28.485718
916.28937,24.98468
918.8355,22.438446
922.0182,20.687927
929.3383,12.253632
936.9767,0.7956848
934.43054,5.888092
999.99347,13.049316
1004.76746,5.888092
1002.2213,11.139648
1009.2232,0.7956848
999.35693,15.59552
993.9464,22.438446
1006.99536,4.2967224
1003.17615,9.38913
1008.26843,2.5462036
997.1291,18.141724
988.2176,30.077087
999.35693,27.530884
996.17426,24.98468
1004.1309,31.827606
1003.17615,30.077087
992.3551,22.438446
977.39655,11.139648
989.1724,20.687927
975.1687,10.184845
970.0764,5.888092
984.08014,16.550354
965.3024,2.5462036
978.98785,12.253632
972.30426,6.842926
982.17053,15.59552
987.2628,19.892242
961.165,0.0
972.9408,9.38913
862.1841,21.642761
875.8695,6.842926
859.9562,22.438446
866.95807,16.550354
883.18964,0.0
869.1859,14.799835
880.32526,4.2967224
870.7773,12.253632
864.0937,19.892242
858.36487,24.98468
913.1067,2.5462036
920.1086,11.139648
922.0182,14.799835
916.28937,5.888092
816.0354,13.049316
825.26514,4.2967224
819.2181,9.38913
827.8113,0.0
817.945,11.139648
797.8942,28.485718
807.12396,21.642761
795.3481,32.62329
804.2596,24.98468
805.21436,22.438446
797.2577,30.077087
921.06335,30.077087
908.01447,30.077087
779.1165,22.438446
788.02795,30.077087
786.11835,29.281403
781.0261,23.234161
775.93384,18.141724
773.06946,14.799835
855.8187,29.281403
835.1314,4.2967224
840.2237,10.184845
851.04474,22.438446
843.4063,13.049316
837.041,5.888092
841.17847,11.139648
844.04285,15.59552
851.9995,24.98468
849.13513,20.687927
832.90356,2.5462036
1253.0154,32.62329
1253.0154,27.530884
1252.0605,20.687927
1252.0605,18.141724
1246.9683,4.2967224
1249.1962,9.38913
1250.151,14.799835
1246.0135,2.5462036
1248.2413,6.842926
1250.7875,16.550354
1246.9683,5.092407
1105.0215,0.0
1087.1985,27.530884
1090.0629,21.642761
1100.2474,6.842926
1083.061,32.62329
1088.1533,24.98468
1096.11,13.049316
1084.9707,28.485718
1094.2003,16.550354
1089.4264,23.234161
1099.2926,9.38913
1091.0177,20.687927
1084.3341,30.077087
1103.1118,4.2967224
1093.2456,18.141724
1105.0215,4.2967224
1108.2041,9.38913
1114.2512,20.687927
1106.2946,5.888092
1164.219,18.141724
1154.3528,18.141724
1169.3113,18.141724
1165.4921,18.141724
1159.1267,18.141724
1170.2661,18.141724
1152.1249,18.141724
1162.3094,18.141724
1155.9441,18.141724
1170.9026,18.141724
1167.0834,18.141724
1159.7633,18.141724
1185.2246,16.550354
1177.9044,17.346039
1187.1342,15.59552
1175.9949,17.346039
1182.9967,16.550354
1173.1305,17.346039
1182.042,16.550354
1175.3584,17.346039
1191.9082,12.253632
1191.2717,13.049316
1151.17,18.141724
1152.1249,29.281403
1151.17,20.687927
1151.17,24.98468
1151.17,16.550354
1149.897,11.139648
1149.897,6.842926
1149.2605,0.7956848
1149.897,5.888092
1051.2344,6.842926
1040.0951,0.7956848
1052.8257,8.434326
1042.0046,2.5462036
1046.4604,4.2967224
1039.1403,0.0
1049.0065,13.049316
1036.9124,30.077087
1051.2344,11.139648
1042.0046,23.234161
1052.1892,9.38913
1040.0951,27.530884
1048.0518,15.59552
1057.918,0.7956848
1361.226,26.735168
1365.0452,27.530884
1355.179,22.438446
1314.1226,4.2967224
1318.26,11.139648
1315.3956,5.888092
1320.4879,13.049316
1312.213,2.5462036
1309.9851,0.7956848
1324.3071,12.253632
1321.1244,14.799835
1349.1318,24.98468
1347.2223,26.735168
1345.3126,27.530884
1358.9982,17.346039
1364.0905,13.049316
1355.179,20.687927
1362.1808,15.59552
1334.1733,24.98468
1325.8984,11.139648
1329.081,17.346039
1336.0829,27.530884
1331.309,20.687927
1323.034,5.092407
1321.1244,2.5462036
1330.3541,9.38913
1329.081,6.842926
1325.2618,0.0
1336.0829,23.234161
1332.2638,12.253632
1336.0829,21.642761
1337.9926,26.735168
1334.1733,18.141724
1340.2205,30.077087
1332.2638,14.799835
1339.2656,28.485718
1335.4464,19.892242
1331.309,11.139648
1.2730713,128.26523
0.0,96.75592
223.7414,171.86905
225.01447,176.96146
221.19525,162.4799
223.7414,174.41525
222.15002,167.57231
219.92218,158.18318
222.15002,165.02611
218.96738,156.43266
221.19525,163.27559
222.78656,170.11853
218.96738,154.84128
219.92218,159.93369
225.01447,176.16577
130.17102,265.76047
125.078735,267.511
89.75116,272.6034
102.163574,270.85287
84.02234,274.3539
91.02423,272.6034
85.931946,272.6034
109.165405,269.2615
99.93567,270.85287
110.756775,269.2615
115.849,268.30667
92.93384,272.6034
98.02612,270.85287
104.70972,270.0572
88.15985,272.6034
104.07318,270.0572
113.93945,269.2615
119.03168,268.30667
94.843445,272.6034
118.076904,268.30667
97.07129,272.6034
120.941284,267.511
82.11279,274.3539
70.018616,275.1496
77.338745,275.1496
67.79077,275.1496
79.88489,274.3539
66.19946,276.10443
72.88306,275.1496
49.967834,277.6958
34.054504,281.19684
39.14679,280.24203
45.193848,279.44632
63.971558,276.10443
45.830383,279.44632
31.82666,281.19684
51.87744,277.6958
61.743713,276.10443
38.192017,280.24203
59.834106,276.90012
48.058228,279.44632
40.7381,280.24203
59.19757,276.90012
52.832275,277.6958
42.966003,280.24203
56.969727,276.90012
1.9096069,36.12433
15.91333,33.578125
10.821045,34.37381
225.01447,43.76294
222.15002,36.920013
225.96924,46.309143
223.7414,41.216736
227.24231,48.059692
228.83365,51.5607
221.19525,34.37381
227.87885,50.605896
225.01447,43.76294
230.10669,54.90262
222.78656,39.466217
42.966003,197.49026
34.054504,198.28595
39.14679,197.49026
49.967834,195.73975
21.960388,199.24078
31.82666,198.28595
20.050781,199.24078
51.87744,194.94405
24.188232,199.24078
40.7381,197.49026
29.280518,198.28595
38.192017,197.49026
48.058228,195.73975
18.141174,200.03647
7.001892,200.83215
15.91333,200.03647
10.821045,200.83215
6.047058,200.83215
13.04895,200.03647
1.9096069,201.78699
2.86438,127.46954
185.86768,153.09076
206.87323,144.4973
230.10669,135.10817
200.18964,147.04352
154.99579,166.77663
168.99951,159.93369
140.99207,171.86905
147.67566,169.32283
227.24231,136.06299
133.99023,175.37007
143.85645,170.11853
164.86206,161.6842
170.90912,159.138
179.18408,156.43266
206.23672,145.45213
158.17847,164.23042
191.91473,151.34024
225.01447,137.65437
176.0014,157.38748
161.99768,163.27559
197.00699,147.99834
221.19525,137.65437
178.22925,156.43266
150.85834,167.57231
184.91284,153.09076
211.32898,142.90593
204.00885,145.45213
198.9166,147.99834
219.92218,139.40489
160.08807,164.23042
183.00327,153.88644
216.10297,140.35971
152.76794,167.57231
195.09741,149.74886
163.90729,162.4799
201.781,146.24782
208.78284,142.90593
222.78656,137.65437
135.89978,174.41525
193.1878,150.54456
174.0918,158.18318
180.77539,154.84128
212.92032,141.9511
136.85461,173.61957
139.08246,171.86905
227.87885,135.10817
135.2633,188.8968
133.99023,182.05388
136.85461,198.28595
135.2633,183.8044
135.89978,190.64732
133.99023,178.71198
135.2633,187.30544
136.85461,199.24078
135.89978,192.39784
133.99023,180.4625
135.89978,194.14836
135.2633,185.55492
190.95993,270.0572
193.1878,287.08496
191.91473,276.90012
190.95993,265.76047
191.91473,272.6034
190.00513,264.96478
191.91473,280.24203
190.95993,268.30667
191.91473,279.44632
190.95993,272.6034
190.00513,258.91754
193.1878,286.28928
190.00513,263.21426
191.91473,275.1496
254.93152,171.86905
246.97485,174.41525
240.9278,175.37007
249.83923,173.61957
243.15564,175.37007
232.3346,176.96146
238.06335,176.16577
228.83365,178.71198
213.87512,182.05388
223.7414,179.50766
206.87323,183.0087
215.1482,181.25818
210.05591,182.05388
216.7395,181.25818
208.1463,183.0087
221.19525,180.4625
170.90912,192.39784
142.90167,199.24078
157.2237,194.94405
190.00513,187.30544
161.99768,194.14836
167.08997,193.19354
193.1878,186.3506
179.18408,190.64732
184.91284,188.8968
200.18964,185.55492
188.09552,188.10112
178.22925,190.64732
150.85834,197.49026
140.99207,199.24078
197.00699,185.55492
164.86206,193.19354
204.00885,183.8044
146.08435,198.28595
180.77539,188.8968
171.86395,192.39784
191.91473,187.30544
143.85645,199.24078
176.0014,190.64732
168.99951,192.39784
201.781,183.8044
163.90729,194.14836
139.08246,200.03647
160.08807,194.94405
174.0918,190.64732
152.76794,195.73975
198.9166,185.55492
150.2218,197.49026
185.86768,188.10112
195.09741,186.3506
136.85461,200.03647
183.00327,188.8968
122.85089,204.33319
128.89795,203.5375
133.99023,200.83215
125.078735,204.33319
126.98834,203.5375
115.849,206.08371
120.30475,205.12889
109.165405,206.87941
102.163574,209.42561
91.979004,210.38043
104.07318,207.6751
83.067566,211.97182
107.892334,207.6751
89.75116,211.17613
94.843445,210.38043
81.15796,211.97182
97.07129,209.42561
84.97717,211.97182
100.8905,209.42561
110.756775,206.87941
88.15985,211.17613
112.98462,206.87941
93.57037,210.38043
105.98279,207.6751
87.20502,211.17613
99.299194,209.42561
78.930115,212.92665
57.9245,216.26854
67.79077,214.51802
74.15613,212.92665
59.834106,215.47285
72.24652,214.51802
77.338745,212.92665
237.10858,58.244507
255.88629,84.82056
243.15564,67.63367
249.83923,75.4314
234.8807,56.653137
244.74695,68.58847
251.1123,77.97763
240.9278,63.496063
246.97485,72.88519
242.20084,65.08743
254.93152,82.27435
238.06335,59.995026
252.06711,79.72815
243.15564,248.7327
219.92218,253.02942
238.06335,250.48322
227.24231,252.0746
232.3346,251.2789
254.93152,246.98218
247.92963,247.93701
222.15002,253.02942
244.74695,248.7327
231.06152,251.2789
225.01447,252.0746
253.02191,246.98218
246.02002,247.93701
252.06711,246.98218
228.83365,252.0746
236.15378,250.48322
218.01257,253.02942
190.00513,258.12183
198.9166,256.3713
204.00885,255.57564
193.1878,257.32614
211.32898,253.82512
200.18964,256.3713
206.23672,255.57564
195.09741,257.32614
201.781,256.3713
208.78284,253.82512
191.91473,257.32614
212.92032,253.82512
169.95435,259.87234
164.86206,261.46375
158.17847,262.41858
168.99951,261.46375
152.76794,263.21426
161.99768,262.41858
179.18408,258.91754
135.2633,265.76047
183.00327,258.91754
163.27075,262.41858
176.0014,259.87234
143.85645,264.1691
155.95062,263.21426
183.95807,258.12183
148.94873,264.1691
146.08435,264.1691
174.0918,259.87234
185.86768,258.12183
133.99023,265.76047
139.08246,264.96478
132.08063,265.76047
150.85834,263.21426
188.09552,258.12183
136.85461,264.96478
167.08997,261.46375
154.99579,263.21426
160.08807,262.41858
180.77539,258.91754
147.67566,264.1691
215.1482,246.1865
211.96552,224.862
213.87512,239.34355
216.10297,247.93701
211.96552,220.56528
212.92032,227.4082
211.96552,218.01906
213.87512,234.25114
216.10297,252.0746
213.87512,236.79735
212.92032,229.15872
211.96552,222.3158
212.92032,231.70493
213.87512,238.54787
216.10297,250.48322
206.87323,193.19354
206.23672,183.8044
210.05591,209.42561
208.78284,200.03647
210.05591,211.17613
208.1463,198.28595
211.32898,216.26854
208.78284,204.33319
211.32898,214.51802
206.87323,190.64732
210.05591,206.87941
206.23672,186.3506
10.821045,167.57231
2.86438,168.52715
13.04895,166.77663
3.8192139,168.52715
1.2730713,168.52715
8.274902,167.57231
210.05591,110.44177
84.02234,275.1496
87.20502,286.28928
84.02234,276.90012
249.83923,206.87941
247.92963,207.6751
254.93152,206.87941
246.02002,207.6751
252.06711,206.87941
238.69989,209.42561
253.02191,206.87941
135.89978,280.24203
132.71716,270.85287
133.99023,275.1496
132.08063,268.30667
